,Fiscal Year,US Category Name,Constant Dollar Amount
644,2016,Multi-sector,5291996205
645,2016,Peace and Security,25637718533
646,2016,Program Support,2124934844
647,2017,"Democracy, Human Rights, and Governance",3018674613
648,2017,Economic Development,3016828932
649,2017,Education and Social Services,1372753321
650,2017,Environment,888526426
651,2017,Health,8927572524
652,2017,Humanitarian Assistance,10773635955
653,2017,Multi-sector,5149904848
654,2017,Peace and Security,26000872187
655,2017,Program Support,2484347589
656,2018,"Democracy, Human Rights, and Governance",3187565463
657,2018,Economic Development,2450282320
658,2018,Education and Social Services,908230232
659,2018,Environment,685428759
660,2018,Health,7513063752
661,2018,Humanitarian Assistance,8965104248
662,2018,Multi-sector,4323418924
663,2018,Peace and Security,28102892994
664,2018,Program Support,1993302415
665,2019,"Democracy, Human Rights, and Governance",3079382219
666,2019,Economic Development,2539486420
667,2019,Education and Social Services,984704243
668,2019,Environment,646774401
669,2019,Health,6205853605
670,2019,Humanitarian Assistance,9930848586
671,2019,Multi-sector,4011765206
672,2019,Peace and Security,29175180982
673,2019,Program Support,2485523383
674,2020,"Democracy, Human Rights, and Governance",3031612221
675,2020,Economic Development,1750871507
676,2020,Education and Social Services,762777630
677,2020,Environment,512232689
678,2020,Health,6335445864
679,2020,Humanitarian Assistance,11359302850
680,2020,Multi-sector,4791214766
681,2020,Peace and Security,24786982398
682,2020,Program Support,2140920455
683,2021,"Democracy, Human Rights, and Governance",1581232663
684,2021,Economic Development,2909204620
685,2021,Education and Social Services,686185017
686,2021,Environment,469628660
687,2021,Health,7386732912
688,2021,Humanitarian Assistance,18912773589
689,2021,Multi-sector,4492373872
690,2021,Peace and Security,15604357728
691,2021,Program Support,3556331548
692,2022,"Democracy, Human Rights, and Governance",1976309057
693,2022,Economic Development,2872450655
694,2022,Education and Social Services,1069391071
695,2022,Environment,1514597989
696,2022,Health,9305069967
697,2022,Humanitarian Assistance,22109251665
698,2022,Multi-sector,5649082262
699,2022,Peace and Security,17277122483
700,2022,Program Support,3560864800
701,2023,"Democracy, Human Rights, and Governance",2367926770
