Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,income_level,trend,slope,r_value,p_value,percent_change
Cote d'Ivoire,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",473.0,495.0,520.0,539.0,536.0,540.0,583.0,589.0,589.0,619.0,604.0,591.0,597.0,579.0,550.0,530.0,537.0,512.0,522.0,483.0,480.0,,,,Lower middle income,decreasing,-0.5571428571428572,-0.07861261141606682,0.7348252845020408,1.4799154334038054
Croatia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",11.0,11.0,11.0,11.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,,,,Upper middle income,decreasing,-0.35844155844155845,-0.9722087440488943,1.9367790101137621e-13,-54.54545454545454
Cuba,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",47.0,47.0,45.0,39.0,41.0,43.0,46.0,45.0,42.0,40.0,41.0,40.0,41.0,41.0,41.0,39.0,41.0,40.0,39.0,40.0,39.0,,,,Upper middle income,decreasing,-0.3090909090909091,-0.7202427496433564,0.00023138414487018923,-17.02127659574468
Cyprus,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",33.0,33.0,34.0,31.0,32.0,27.0,31.0,26.0,27.0,30.0,27.0,31.0,32.0,36.0,39.0,42.0,42.0,49.0,59.0,64.0,68.0,,,,High income,increasing,1.5103896103896104,0.7614242232446873,6.0871486555499985e-05,106.06060606060606
Czechia,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,8.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,,,,High income,decreasing,-0.24415584415584413,-0.9310430025495426,9.252800328326098e-10,-62.5
Denmark,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,,,,High income,decreasing,-0.17532467532467533,-0.9338145262192007,6.335601954537932e-10,-37.5
Djibouti,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",512.0,487.0,454.0,440.0,394.0,368.0,322.0,325.0,322.0,294.0,274.0,269.0,257.0,246.0,236.0,244.0,251.0,247.0,257.0,244.0,234.0,,,,Lower middle income,decreasing,-13.127272727272725,-0.9114228078281272,9.235323253462414e-09,-54.296875
Dominica,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,Upper middle income,decreasing,,,,
Dominican Republic,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",79.0,69.0,70.0,75.0,81.0,87.0,85.0,89.0,92.0,93.0,92.0,93.0,91.0,93.0,96.0,99.0,102.0,104.0,109.0,103.0,107.0,,,,Upper middle income,increasing,1.7415584415584413,0.9481559242658597,6.587833608260406e-11,35.44303797468354
Ecuador,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",120.0,116.0,111.0,98.0,94.0,92.0,90.0,88.0,88.0,86.0,76.0,73.0,72.0,72.0,65.0,66.0,70.0,69.0,71.0,74.0,66.0,,,,Upper middle income,decreasing,-2.4779220779220776,-0.9147094445678975,6.533548858376598e-09,-45.0
