STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,SEX,Sex,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2036,,12,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2037,,12,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2038,,11,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2039,,11,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2040,,11,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2041,,10,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2042,,10,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2043,,10,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2044,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2045,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2046,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2047,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2048,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2049,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,PF,French Polynesia,POPYOUTH,Proportion of youth (15-24),_T,Total,2050,,9,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2025,,33,,PERCENT,percent,,,E,Estimated value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2026,,33,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2027,,33,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2028,,33,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2029,,32,,PERCENT,percent,,,F,Forecasted value,,,,
DATAFLOW,SPC:DF_POP_AGE(1.0),Population structure by age,I,A,Annual,TV,Tuvalu,POPCHILD,Proportion of children (<14),_T,Total,2030,,32,,PERCENT,percent,,,F,Forecasted value,,,,
